product_id;name;Slug;price;description;image_url;rating;margin;category;gender;discount_max
10001;Gini and Jony Girls Knit White Top(10001);Topwear10001;2333;Chic and comfy! This white top is a wardrobe essential for every stylish girl!;http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg;5;25;Topwear;Girls;
10002;Gini and Jony Girls Black Top(10002);Topwear10002;2414;Classic black top perfect for any occasion! Dress up or down with ease.;http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg;1;25;Topwear;Girls;
10003;Gini and Jony Girls Pretty Blossom Blue Top(10003);Topwear10003;2239;Bloom with beauty in this charming blue blossom top! A must-have for fashionistas.;http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg;1;25;Topwear;Girls;
10004;Gini and Jony Girls Black Capris(10004);Bottomwear10004;1009;Versatile black capris that match any top! Ideal for active days.;http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg;4;40;Bottomwear;Girls;
10005;Do u speak Green Girls Olive 3/4 Pant(10005);Bottomwear10005;536;Eco-friendly style! These olive pants offer comfort and sustainability!;http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg;3;40;Bottomwear;Girls;
10006;Gini and Jony Girls Black Dress(10006);Dress10006;464;Elegant black dress for the little fashionista. Perfect for any special event!;http://assets.myntassets.com/v1/images/style/properties/1f7c87ee0ac12c35df8c1dd28e2cd692_images.jpg;2;30;Dress;Girls;
10007;Gini and Jony Girls Pink Capris(10007);Bottomwear10007;586;Fun and bright pink capris to add a pop of color to any outfit!;http://assets.myntassets.com/v1/images/style/properties/87321ab7962a30b2e9b01fa16997029c_images.jpg;4;40;Bottomwear;Girls;
10008;Allen Solly Kids Girls Poplin Pink Shorts(10008);Bottomwear10008;791;Playful pink shorts perfect for summer adventures. Style and comfort combined!;http://assets.myntassets.com/v1/images/style/properties/c8c6fd3233823726f484da6b7007f016_images.jpg;4;40;Bottomwear;Girls;
10009;Little Miss Girls Chatterbox Navy Blue Dress(10009);Dress10009;184;Speak your style with this cute navy dress! Adorable and comfy for every girl.;http://assets.myntassets.com/v1/images/style/properties/0d3b2725d327a275c52c6f999e3982eb_images.jpg;3;30;Dress;Girls;
10010;Kids Ville Girls Turquoise Blue Top(10010);Topwear10010;3275;Vibrant turquoise top to brighten any day. Soft and stylish for all-day wear.;http://assets.myntassets.com/v1/images/style/properties/02012c4736e7a3cae2bab8857fa62b33_images.jpg;3;25;Topwear;Girls;
10011;Little Miss Girls Blah White Top(10011);Topwear10011;1925;Little Miss Girls Blah White Top;http://assets.myntassets.com/v1/images/style/properties/d3065a1272f7f6f77a002f5a640601d4_images.jpg;4;25;Topwear;Girls;
10012;Gini and Jony Girls Purple Top(10012);Topwear10012;999;Gini and Jony Girls Purple Top;http://assets.myntassets.com/v1/images/style/properties/5c2900e691bb0b900efbb994abaa3051_images.jpg;2;25;Topwear;Girls;
10013;Gini and Jony Girls Nautical Blues Navy Blue Top(10013);Topwear10013;1548;Gini and Jony Girls Nautical Blues Navy Blue Top;http://assets.myntassets.com/v1/images/style/properties/4fac53e9b5424ee2f2b1654edefcf9f3_images.jpg;2;25;Topwear;Girls;
10014;Gini and Jony Girls Purple Top(10014);Topwear10014;2402;Gini and Jony Girls Purple Top;http://assets.myntassets.com/v1/images/style/properties/78697e51fc64e69ef59fec8e4a98bb02_images.jpg;3;25;Topwear;Girls;
10015;Doodle Kids Girls Pink Retro Top(10015);Topwear10015;1302;Doodle Kids Girls Pink Retro Top;http://assets.myntassets.com/v1/images/style/properties/b222e8d07fb08047514b355c4f0d1659_images.jpg;5;25;Topwear;Girls;
10016;Madagascar 3 Infant Girls White Booties(10016);Socks10016;52;Madagascar 3 Infant Girls White Booties;http://assets.myntassets.com/v1/images/style/properties/fb0b4f85873f045107207dd9da40e56c_images.jpg;2;30;Socks;Girls;
10017;Madagascar 3 Infants Girls Pink Booties(10017);Socks10017;74;Madagascar 3 Infants Girls Pink Booties;http://assets.myntassets.com/v1/images/style/properties/652b58c0dc86f6c64d37c35da0c2858e_images.jpg;1;30;Socks;Girls;
10018;Gini and Jony Girls Pink Dress(10018);Dress10018;1249;Gini and Jony Girls Pink Dress;http://assets.myntassets.com/v1/images/style/properties/a796ba0a28290e5db9a37bff847b4a9b_images.jpg;3;30;Dress;Girls;
10019;Doodle Kids Girls Polka Dot Black Dress(10019);Dress10019;1183;Doodle Kids Girls Polka Dot Black Dress;http://assets.myntassets.com/v1/images/style/properties/f099bd68b6da608dea6d51c2824833de_images.jpg;3;30;Dress;Girls;
10020;Little Miss Girls Sunshine Red Clothing Set(10020);Apparel Set10020;1226;Little Miss Girls Sunshine Red Clothing Set;http://assets.myntassets.com/v1/images/style/properties/5254a38601288234bb4977e8e27a1891_images.jpg;3;20;Apparel Set;Girls;
10021;Doodle Girls Printed Multi Coloured Dress(10021);Dress10021;1290;Doodle Girls Printed Multi Coloured Dress;http://assets.myntassets.com/v1/images/style/properties/3e06ff4576a32b7ccc07c3e6cc222534_images.jpg;2;30;Dress;Girls;
10022;Gini and Jony Girls Printed White & Pink Dress(10022);Dress10022;727;Gini and Jony Girls Printed White & Pink Dress;http://assets.myntassets.com/v1/images/style/properties/23feaca5229fc9d843bddc530fb8a686_images.jpg;5;30;Dress;Girls;
10023;Little Miss Girls Chatterbox Blue Clothing Set(10023);Apparel Set10023;779;Little Miss Girls Chatterbox Blue Clothing Set;http://assets.myntassets.com/v1/images/style/properties/ffba35f9f9c2516c6d588f4e4a0b0e74_images.jpg;3;20;Apparel Set;Girls;
10024;Little Miss Girls Blazing Yellow Clothing Set(10024);Apparel Set10024;1083;Little Miss Girls Blazing Yellow Clothing Set;http://assets.myntassets.com/v1/images/style/properties/b2155f164df0ce2449e38487ff866c13_images.jpg;1;20;Apparel Set;Girls;
10025;Madagascar 3 Infant Girls White Booties(10025);Socks10025;100;Madagascar 3 Infant Girls White Booties;http://assets.myntassets.com/v1/images/style/properties/f8295cda196d978f23f87836a2ed44b4_images.jpg;4;30;Socks;Girls;
10026;Madagascar 3 Infant Girls Light Green Booties(10026);Socks10026;44;Madagascar 3 Infant Girls Light Green Booties;http://assets.myntassets.com/v1/images/style/properties/892734f1ce7baef6ffced2edf9763489_images.jpg;3;30;Socks;Girls;
10027;Madagascar 3 Infant Girls Light Green Booties(10027);Socks10027;125;Madagascar 3 Infant Girls Light Green Booties;http://assets.myntassets.com/v1/images/style/properties/90f67c9997d5d20e143c16db6fda2a25_images.jpg;4;30;Socks;Girls;
10028;Madagascar 3 Infants Girls Pink Booties(10028);Socks10028;55;Madagascar 3 Infants Girls Pink Booties;http://assets.myntassets.com/v1/images/style/properties/9dd9e63358d4fd81960b93a58e1c4017_images.jpg;4;30;Socks;Girls;
10029;Gini and Jony Girls Woven Blue Shorts(10029);Bottomwear10029;632;Gini and Jony Girls Woven Blue Shorts;http://assets.myntassets.com/v1/images/style/properties/b1f5b8ae9f07cd08cae46c0b470cc6b7_images.jpg;5;40;Bottomwear;Girls;
10030;United Colors of Benetton Kids Girls Navy Blue Shorts(10030);Bottomwear10030;529;United Colors of Benetton Kids Girls Navy Blue Shorts;http://assets.myntassets.com/v1/images/style/properties/b1a94a17b2b13411e7d752a48002c041_images.jpg;4;40;Bottomwear;Girls;
10031;Gini and Jony Girls Blue Capri(10031);Bottomwear10031;735;Gini and Jony Girls Blue Capri;http://assets.myntassets.com/v1/images/style/properties/80672df14a42febd4a31fd0651588cb0_images.jpg;2;40;Bottomwear;Girls;
10032;Gini and Jony Girls Green Shorts(10032);Bottomwear10032;875;Gini and Jony Girls Green Shorts;http://assets.myntassets.com/v1/images/style/properties/e772cf08b8fd48b500310611db8b931b_images.jpg;4;40;Bottomwear;Girls;
10033;United Colors of Benetton Girls Red Printed Dress(10033);Dress10033;1603;United Colors of Benetton Girls Red Printed Dress;http://assets.myntassets.com/v1/images/style/properties/United-Colors-of-Benetton-Girls-Red-Printed-Dress_06324ea0ce0cb4cc0348695a608bc307_images.jpg;5;30;Dress;Girls;
10034;Madagascar3 Girls Purple Printed T-Shirt(10034);Topwear10034;3144;Madagascar3 Girls Purple Printed T-Shirt;http://assets.myntassets.com/v1/images/style/properties/26cb9d78de9ebc67bfabbe53d115b0e4_images.jpg;3;40;Topwear;Girls;
10035;Disney Kids Boys Crew Sea Life Sialing Green Teen Kidswear(10035);Topwear10035;1846;Disney Kids Boys Crew Sea Life Sialing Green Teen Kidswear;http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg;4;40;Topwear;Boys;
10036;Doodle Boys Route 66 Biker Blue Teen Kidswear(10036);Topwear10036;3795;Doodle Boys Route 66 Biker Blue Teen Kidswear;http://assets.myntassets.com/v1/images/style/properties/117451d5bf32c9ec341a6dfd0c28121a_images.jpg;2;40;Topwear;Boys;
10037;Palm Tree Boys Check Blue Shirt(10037);Topwear10037;1282;Palm Tree Boys Check Blue Shirt;http://assets.myntassets.com/v1/images/style/properties/17d5cdd77de6f87ee2451b98f3466d88_images.jpg;3;40;Topwear;Boys;
10038;Gini and Jony Boys Solid Black Jeans(10038);Bottomwear10038;676;Gini and Jony Boys Solid Black Jeans;http://assets.myntassets.com/v1/images/style/properties/50aba4c7dbee879034bee18e8fa647f1_images.jpg;2;40;Bottomwear;Boys;
10039;Gini and Jony Boys Grey Shorts(10039);Bottomwear10039;566;Gini and Jony Boys Grey Shorts;http://assets.myntassets.com/v1/images/style/properties/ab13e5576f1a6b597ca99514da15fec6_images.jpg;2;40;Bottomwear;Boys;
10040;United Colors of Benetton Boys Khaki Shorts(10040);Bottomwear10040;788;United Colors of Benetton Boys Khaki Shorts;http://assets.myntassets.com/v1/images/style/properties/0306ed2619dc70f26359986b5ed7a8a0_images.jpg;3;40;Bottomwear;Boys;
10041;Doodle Boys Volleyball Champion Black White Kidswear(10041);Topwear10041;3236;Doodle Boys Volleyball Champion Black White Kidswear;http://assets.myntassets.com/v1/images/style/properties/8bf8c2293d894430bb7066404c8022a5_images.jpg;4;40;Topwear;Boys;
10042;Gini and Jony Boys United Green T-shirt(10042);Topwear10042;2951;Gini and Jony Boys United Green T-shirt;http://assets.myntassets.com/v1/images/style/properties/76787f70a91d57f216c5f01ac354482c_images.jpg;4;40;Topwear;Boys;
10043;Madagascar 3 Infants Boys White Booties(10043);Socks10043;44;Madagascar 3 Infants Boys White Booties;http://assets.myntassets.com/v1/images/style/properties/3b4fde3fc805549feaf58cc396be3038_images.jpg;4;10;Socks;Boys;
10044;Madagascar 3 Infant Boys Yellow Booties(10044);Socks10044;61;Madagascar 3 Infant Boys Yellow Booties;http://assets.myntassets.com/v1/images/style/properties/161f2beac9836ee2530e6628a548b0cf_images.jpg;4;10;Socks;Boys;
10045;Fabindia Boys Blue & Green Angarakha Dhoti Set(10045);Apparel Set10045;1194;Fabindia Boys Blue & Green Angarakha Dhoti Set;http://assets.myntassets.com/v1/images/style/properties/f2a3baa07a5ff85471618e78488b0936_images.jpg;2;20;Apparel Set;Boys;
10046;Gini and Jony Boys Polo Red T-Shirt(10046);Topwear10046;2957;Gini and Jony Boys Polo Red T-Shirt;http://assets.myntassets.com/v1/images/style/properties/d993f35af5990e0d1b39554e2952cff9_images.jpg;5;20;Topwear;Boys;
10047;Doodle Boys Printed White T-shirt(10047);Topwear10047;2227;Doodle Boys Printed White T-shirt;http://assets.myntassets.com/v1/images/style/properties/41f16f05724a8800a7f7c23ddfe46703_images.jpg;1;20;Topwear;Boys;
